tier,task,variant,seed,run_id,config
ood_generalization,unseen_temperature_gap,pnedb,R001,ood_generalization__unseen_temperature_gap__pnedb__R001__default,configs/experiments/ood_generalization/unseen_temperature_gap/pnedb.yaml
ood_generalization,unseen_temperature_gap,pnedb,R002,ood_generalization__unseen_temperature_gap__pnedb__R002__default,configs/experiments/ood_generalization/unseen_temperature_gap/pnedb.yaml
ood_generalization,unseen_temperature_gap,pnedb,R003,ood_generalization__unseen_temperature_gap__pnedb__R003__default,configs/experiments/ood_generalization/unseen_temperature_gap/pnedb.yaml
ood_generalization,unseen_temperature_gap,pnedb,R004,ood_generalization__unseen_temperature_gap__pnedb__R004__default,configs/experiments/ood_generalization/unseen_temperature_gap/pnedb.yaml
ood_generalization,unseen_temperature_gap,pnedb,R005,ood_generalization__unseen_temperature_gap__pnedb__R005__default,configs/experiments/ood_generalization/unseen_temperature_gap/pnedb.yaml
ood_generalization,unseen_lambda_pair,pnedb,R001,ood_generalization__unseen_lambda_pair__pnedb__R001__default,configs/experiments/ood_generalization/unseen_lambda_pair/pnedb.yaml
ood_generalization,unseen_lambda_pair,pnedb,R002,ood_generalization__unseen_lambda_pair__pnedb__R002__default,configs/experiments/ood_generalization/unseen_lambda_pair/pnedb.yaml
ood_generalization,unseen_lambda_pair,pnedb,R003,ood_generalization__unseen_lambda_pair__pnedb__R003__default,configs/experiments/ood_generalization/unseen_lambda_pair/pnedb.yaml
ood_generalization,unseen_lambda_pair,pnedb,R004,ood_generalization__unseen_lambda_pair__pnedb__R004__default,configs/experiments/ood_generalization/unseen_lambda_pair/pnedb.yaml
ood_generalization,unseen_lambda_pair,pnedb,R005,ood_generalization__unseen_lambda_pair__pnedb__R005__default,configs/experiments/ood_generalization/unseen_lambda_pair/pnedb.yaml
ood_generalization,unseen_basin_pair,pnedb,R001,ood_generalization__unseen_basin_pair__pnedb__R001__default,configs/experiments/ood_generalization/unseen_basin_pair/pnedb.yaml
ood_generalization,unseen_basin_pair,pnedb,R002,ood_generalization__unseen_basin_pair__pnedb__R002__default,configs/experiments/ood_generalization/unseen_basin_pair/pnedb.yaml
ood_generalization,unseen_basin_pair,pnedb,R003,ood_generalization__unseen_basin_pair__pnedb__R003__default,configs/experiments/ood_generalization/unseen_basin_pair/pnedb.yaml
ood_generalization,unseen_basin_pair,pnedb,R004,ood_generalization__unseen_basin_pair__pnedb__R004__default,configs/experiments/ood_generalization/unseen_basin_pair/pnedb.yaml
ood_generalization,unseen_basin_pair,pnedb,R005,ood_generalization__unseen_basin_pair__pnedb__R005__default,configs/experiments/ood_generalization/unseen_basin_pair/pnedb.yaml
ood_generalization,unseen_temperature_gap,deterministic,R001,ood_generalization__unseen_temperature_gap__deterministic__R001__default,configs/experiments/ood_generalization/unseen_temperature_gap/deterministic.yaml
ood_generalization,unseen_temperature_gap,deterministic,R002,ood_generalization__unseen_temperature_gap__deterministic__R002__default,configs/experiments/ood_generalization/unseen_temperature_gap/deterministic.yaml
ood_generalization,unseen_temperature_gap,deterministic,R003,ood_generalization__unseen_temperature_gap__deterministic__R003__default,configs/experiments/ood_generalization/unseen_temperature_gap/deterministic.yaml
ood_generalization,unseen_temperature_gap,deterministic,R004,ood_generalization__unseen_temperature_gap__deterministic__R004__default,configs/experiments/ood_generalization/unseen_temperature_gap/deterministic.yaml
ood_generalization,unseen_temperature_gap,deterministic,R005,ood_generalization__unseen_temperature_gap__deterministic__R005__default,configs/experiments/ood_generalization/unseen_temperature_gap/deterministic.yaml
ood_generalization,unseen_temperature_gap,fixed_noise,R001,ood_generalization__unseen_temperature_gap__fixed_noise__R001__default,configs/experiments/ood_generalization/unseen_temperature_gap/fixed_noise.yaml
ood_generalization,unseen_temperature_gap,fixed_noise,R002,ood_generalization__unseen_temperature_gap__fixed_noise__R002__default,configs/experiments/ood_generalization/unseen_temperature_gap/fixed_noise.yaml
ood_generalization,unseen_temperature_gap,fixed_noise,R003,ood_generalization__unseen_temperature_gap__fixed_noise__R003__default,configs/experiments/ood_generalization/unseen_temperature_gap/fixed_noise.yaml
ood_generalization,unseen_temperature_gap,fixed_noise,R004,ood_generalization__unseen_temperature_gap__fixed_noise__R004__default,configs/experiments/ood_generalization/unseen_temperature_gap/fixed_noise.yaml
ood_generalization,unseen_temperature_gap,fixed_noise,R005,ood_generalization__unseen_temperature_gap__fixed_noise__R005__default,configs/experiments/ood_generalization/unseen_temperature_gap/fixed_noise.yaml
ood_generalization,unseen_temperature_gap,learned_isotropic,R001,ood_generalization__unseen_temperature_gap__learned_isotropic__R001__default,configs/experiments/ood_generalization/unseen_temperature_gap/learned_isotropic.yaml
ood_generalization,unseen_temperature_gap,learned_isotropic,R002,ood_generalization__unseen_temperature_gap__learned_isotropic__R002__default,configs/experiments/ood_generalization/unseen_temperature_gap/learned_isotropic.yaml
ood_generalization,unseen_temperature_gap,learned_isotropic,R003,ood_generalization__unseen_temperature_gap__learned_isotropic__R003__default,configs/experiments/ood_generalization/unseen_temperature_gap/learned_isotropic.yaml
ood_generalization,unseen_temperature_gap,learned_isotropic,R004,ood_generalization__unseen_temperature_gap__learned_isotropic__R004__default,configs/experiments/ood_generalization/unseen_temperature_gap/learned_isotropic.yaml
ood_generalization,unseen_temperature_gap,learned_isotropic,R005,ood_generalization__unseen_temperature_gap__learned_isotropic__R005__default,configs/experiments/ood_generalization/unseen_temperature_gap/learned_isotropic.yaml
ood_generalization,unseen_lambda_pair,deterministic,R001,ood_generalization__unseen_lambda_pair__deterministic__R001__default,configs/experiments/ood_generalization/unseen_lambda_pair/deterministic.yaml
ood_generalization,unseen_lambda_pair,deterministic,R002,ood_generalization__unseen_lambda_pair__deterministic__R002__default,configs/experiments/ood_generalization/unseen_lambda_pair/deterministic.yaml
ood_generalization,unseen_lambda_pair,deterministic,R003,ood_generalization__unseen_lambda_pair__deterministic__R003__default,configs/experiments/ood_generalization/unseen_lambda_pair/deterministic.yaml
ood_generalization,unseen_lambda_pair,deterministic,R004,ood_generalization__unseen_lambda_pair__deterministic__R004__default,configs/experiments/ood_generalization/unseen_lambda_pair/deterministic.yaml
ood_generalization,unseen_lambda_pair,deterministic,R005,ood_generalization__unseen_lambda_pair__deterministic__R005__default,configs/experiments/ood_generalization/unseen_lambda_pair/deterministic.yaml
ood_generalization,unseen_lambda_pair,fixed_noise,R001,ood_generalization__unseen_lambda_pair__fixed_noise__R001__default,configs/experiments/ood_generalization/unseen_lambda_pair/fixed_noise.yaml
ood_generalization,unseen_lambda_pair,fixed_noise,R002,ood_generalization__unseen_lambda_pair__fixed_noise__R002__default,configs/experiments/ood_generalization/unseen_lambda_pair/fixed_noise.yaml
ood_generalization,unseen_lambda_pair,fixed_noise,R003,ood_generalization__unseen_lambda_pair__fixed_noise__R003__default,configs/experiments/ood_generalization/unseen_lambda_pair/fixed_noise.yaml
ood_generalization,unseen_lambda_pair,fixed_noise,R004,ood_generalization__unseen_lambda_pair__fixed_noise__R004__default,configs/experiments/ood_generalization/unseen_lambda_pair/fixed_noise.yaml
ood_generalization,unseen_lambda_pair,fixed_noise,R005,ood_generalization__unseen_lambda_pair__fixed_noise__R005__default,configs/experiments/ood_generalization/unseen_lambda_pair/fixed_noise.yaml
ood_generalization,unseen_lambda_pair,learned_isotropic,R001,ood_generalization__unseen_lambda_pair__learned_isotropic__R001__default,configs/experiments/ood_generalization/unseen_lambda_pair/learned_isotropic.yaml
ood_generalization,unseen_lambda_pair,learned_isotropic,R002,ood_generalization__unseen_lambda_pair__learned_isotropic__R002__default,configs/experiments/ood_generalization/unseen_lambda_pair/learned_isotropic.yaml
ood_generalization,unseen_lambda_pair,learned_isotropic,R003,ood_generalization__unseen_lambda_pair__learned_isotropic__R003__default,configs/experiments/ood_generalization/unseen_lambda_pair/learned_isotropic.yaml
ood_generalization,unseen_lambda_pair,learned_isotropic,R004,ood_generalization__unseen_lambda_pair__learned_isotropic__R004__default,configs/experiments/ood_generalization/unseen_lambda_pair/learned_isotropic.yaml
ood_generalization,unseen_lambda_pair,learned_isotropic,R005,ood_generalization__unseen_lambda_pair__learned_isotropic__R005__default,configs/experiments/ood_generalization/unseen_lambda_pair/learned_isotropic.yaml
ood_generalization,unseen_basin_pair,deterministic,R001,ood_generalization__unseen_basin_pair__deterministic__R001__default,configs/experiments/ood_generalization/unseen_basin_pair/deterministic.yaml
ood_generalization,unseen_basin_pair,deterministic,R002,ood_generalization__unseen_basin_pair__deterministic__R002__default,configs/experiments/ood_generalization/unseen_basin_pair/deterministic.yaml
ood_generalization,unseen_basin_pair,deterministic,R003,ood_generalization__unseen_basin_pair__deterministic__R003__default,configs/experiments/ood_generalization/unseen_basin_pair/deterministic.yaml
ood_generalization,unseen_basin_pair,deterministic,R004,ood_generalization__unseen_basin_pair__deterministic__R004__default,configs/experiments/ood_generalization/unseen_basin_pair/deterministic.yaml
ood_generalization,unseen_basin_pair,deterministic,R005,ood_generalization__unseen_basin_pair__deterministic__R005__default,configs/experiments/ood_generalization/unseen_basin_pair/deterministic.yaml
ood_generalization,unseen_basin_pair,fixed_noise,R001,ood_generalization__unseen_basin_pair__fixed_noise__R001__default,configs/experiments/ood_generalization/unseen_basin_pair/fixed_noise.yaml
ood_generalization,unseen_basin_pair,fixed_noise,R002,ood_generalization__unseen_basin_pair__fixed_noise__R002__default,configs/experiments/ood_generalization/unseen_basin_pair/fixed_noise.yaml
ood_generalization,unseen_basin_pair,fixed_noise,R003,ood_generalization__unseen_basin_pair__fixed_noise__R003__default,configs/experiments/ood_generalization/unseen_basin_pair/fixed_noise.yaml
ood_generalization,unseen_basin_pair,fixed_noise,R004,ood_generalization__unseen_basin_pair__fixed_noise__R004__default,configs/experiments/ood_generalization/unseen_basin_pair/fixed_noise.yaml
ood_generalization,unseen_basin_pair,fixed_noise,R005,ood_generalization__unseen_basin_pair__fixed_noise__R005__default,configs/experiments/ood_generalization/unseen_basin_pair/fixed_noise.yaml
ood_generalization,unseen_basin_pair,learned_isotropic,R001,ood_generalization__unseen_basin_pair__learned_isotropic__R001__default,configs/experiments/ood_generalization/unseen_basin_pair/learned_isotropic.yaml
ood_generalization,unseen_basin_pair,learned_isotropic,R002,ood_generalization__unseen_basin_pair__learned_isotropic__R002__default,configs/experiments/ood_generalization/unseen_basin_pair/learned_isotropic.yaml
ood_generalization,unseen_basin_pair,learned_isotropic,R003,ood_generalization__unseen_basin_pair__learned_isotropic__R003__default,configs/experiments/ood_generalization/unseen_basin_pair/learned_isotropic.yaml
ood_generalization,unseen_basin_pair,learned_isotropic,R004,ood_generalization__unseen_basin_pair__learned_isotropic__R004__default,configs/experiments/ood_generalization/unseen_basin_pair/learned_isotropic.yaml
ood_generalization,unseen_basin_pair,learned_isotropic,R005,ood_generalization__unseen_basin_pair__learned_isotropic__R005__default,configs/experiments/ood_generalization/unseen_basin_pair/learned_isotropic.yaml
