tier,task,variant,seed,run_id,metric,value,unit,config
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R001,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R001,wall_clock_seconds,792.6922,seconds,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R001,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R001,cpu_seconds,255.3456,seconds,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R001,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R001,gpu_seconds,567.5374,seconds,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R001,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R001,peak_memory_mib,6921.626,MiB,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R001,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R001,sample_count,9761,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R001,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R001,target_energy_calls,10913,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R001,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R001,force_calls,11074,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R001,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R001,network_forward_calls,885291,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R001,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R001,ode_evals,98360,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R001,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R001,hutchinson_M,8,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R001,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R001,smc_particles,NA,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R001,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R001,smc_resampling_steps,NA,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R001,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R001,ESS_N,0.47878338,fraction,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R001,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R001,Deltaf_error,0.01327188,kcal_per_mol,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R001,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R001,kl_pf_vs_girsanov,0.01642574,nats,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R001,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R001,logq_var,0.17477219,log_density_variance,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R001,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R001,wall_clock_seconds,3173.646,seconds,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R001,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R001,cpu_seconds,2823.952,seconds,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R001,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R001,gpu_seconds,NA,seconds,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R001,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R001,peak_memory_mib,9970.883,MiB,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R001,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R001,sample_count,9951,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R001,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R001,target_energy_calls,40053,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R001,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R001,force_calls,20846,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R001,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R001,network_forward_calls,NA,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R001,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R001,ode_evals,NA,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R001,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R001,hutchinson_M,NA,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R001,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R001,smc_particles,1966,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R001,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R001,smc_resampling_steps,41,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R001,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R001,ESS_N,0.45811347,fraction,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R001,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R001,Deltaf_error,0.01821869,kcal_per_mol,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R001,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R001,kl_pf_vs_girsanov,0.01077364,nats,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R001,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R001,logq_var,0.12548011,log_density_variance,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R001,appendix_path_space_control_cost__T1_double_well__path_integral_control__R001,wall_clock_seconds,1340.463139,seconds,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R001,appendix_path_space_control_cost__T1_double_well__path_integral_control__R001,cpu_seconds,3790.390028,seconds,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R001,appendix_path_space_control_cost__T1_double_well__path_integral_control__R001,gpu_seconds,922.435661,seconds,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R001,appendix_path_space_control_cost__T1_double_well__path_integral_control__R001,peak_memory_mib,2732,MiB,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R001,appendix_path_space_control_cost__T1_double_well__path_integral_control__R001,sample_count,20000,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R001,appendix_path_space_control_cost__T1_double_well__path_integral_control__R001,target_energy_calls,32680,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R001,appendix_path_space_control_cost__T1_double_well__path_integral_control__R001,force_calls,0,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R001,appendix_path_space_control_cost__T1_double_well__path_integral_control__R001,network_forward_calls,176217,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R001,appendix_path_space_control_cost__T1_double_well__path_integral_control__R001,ode_evals,111146,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R001,appendix_path_space_control_cost__T1_double_well__path_integral_control__R001,hutchinson_M,NA,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R001,appendix_path_space_control_cost__T1_double_well__path_integral_control__R001,smc_particles,2048,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R001,appendix_path_space_control_cost__T1_double_well__path_integral_control__R001,smc_resampling_steps,22,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R001,appendix_path_space_control_cost__T1_double_well__path_integral_control__R001,ESS_N,0.446744,dimensionless,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R001,appendix_path_space_control_cost__T1_double_well__path_integral_control__R001,Deltaf_error,0.033884,kcal_per_mol,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R001,appendix_path_space_control_cost__T1_double_well__path_integral_control__R001,kl_pf_vs_girsanov,0.013988,dimensionless,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R001,appendix_path_space_control_cost__T1_double_well__path_integral_control__R001,logq_var,0.145138,dimensionless,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,scld_smc,R001,appendix_path_space_control_cost__T1_double_well__scld_smc__R001,wall_clock_seconds,1672.697737,seconds,configs/experiments/appendix_path_space_control_cost/T1_double_well/scld_smc.yaml
appendix_path_space_control_cost,T1_double_well,scld_smc,R001,appendix_path_space_control_cost__T1_double_well__scld_smc__R001,cpu_seconds,5018.117085,seconds,configs/experiments/appendix_path_space_control_cost/T1_double_well/scld_smc.yaml
appendix_path_space_control_cost,T1_double_well,scld_smc,R001,appendix_path_space_control_cost__T1_double_well__scld_smc__R001,gpu_seconds,808.060806,seconds,configs/experiments/appendix_path_space_control_cost/T1_double_well/scld_smc.yaml
appendix_path_space_control_cost,T1_double_well,scld_smc,R001,appendix_path_space_control_cost__T1_double_well__scld_smc__R001,peak_memory_mib,3200,MiB,configs/experiments/appendix_path_space_control_cost/T1_double_well/scld_smc.yaml
appendix_path_space_control_cost,T1_double_well,scld_smc,R001,appendix_path_space_control_cost__T1_double_well__scld_smc__R001,sample_count,20000,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/scld_smc.yaml
appendix_path_space_control_cost,T1_double_well,scld_smc,R001,appendix_path_space_control_cost__T1_double_well__scld_smc__R001,target_energy_calls,39046,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/scld_smc.yaml
appendix_path_space_control_cost,T1_double_well,scld_smc,R001,appendix_path_space_control_cost__T1_double_well__scld_smc__R001,force_calls,0,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/scld_smc.yaml
appendix_path_space_control_cost,T1_double_well,scld_smc,R001,appendix_path_space_control_cost__T1_double_well__scld_smc__R001,network_forward_calls,110074,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/scld_smc.yaml
appendix_path_space_control_cost,T1_double_well,scld_smc,R001,appendix_path_space_control_cost__T1_double_well__scld_smc__R001,ode_evals,NA,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/scld_smc.yaml
appendix_path_space_control_cost,T1_double_well,scld_smc,R001,appendix_path_space_control_cost__T1_double_well__scld_smc__R001,hutchinson_M,NA,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/scld_smc.yaml
appendix_path_space_control_cost,T1_double_well,scld_smc,R001,appendix_path_space_control_cost__T1_double_well__scld_smc__R001,smc_particles,4096,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/scld_smc.yaml
appendix_path_space_control_cost,T1_double_well,scld_smc,R001,appendix_path_space_control_cost__T1_double_well__scld_smc__R001,smc_resampling_steps,30,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/scld_smc.yaml
appendix_path_space_control_cost,T1_double_well,scld_smc,R001,appendix_path_space_control_cost__T1_double_well__scld_smc__R001,ESS_N,0.402434,dimensionless,configs/experiments/appendix_path_space_control_cost/T1_double_well/scld_smc.yaml
appendix_path_space_control_cost,T1_double_well,scld_smc,R001,appendix_path_space_control_cost__T1_double_well__scld_smc__R001,Deltaf_error,0.036067,kcal_per_mol,configs/experiments/appendix_path_space_control_cost/T1_double_well/scld_smc.yaml
appendix_path_space_control_cost,T1_double_well,scld_smc,R001,appendix_path_space_control_cost__T1_double_well__scld_smc__R001,kl_pf_vs_girsanov,0.016637,dimensionless,configs/experiments/appendix_path_space_control_cost/T1_double_well/scld_smc.yaml
appendix_path_space_control_cost,T1_double_well,scld_smc,R001,appendix_path_space_control_cost__T1_double_well__scld_smc__R001,logq_var,0.149419,dimensionless,configs/experiments/appendix_path_space_control_cost/T1_double_well/scld_smc.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R002,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R002,wall_clock_seconds,693.4919,seconds,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R002,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R002,cpu_seconds,297.4406,seconds,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R002,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R002,gpu_seconds,692.9077,seconds,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R002,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R002,peak_memory_mib,7180.148,MiB,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R002,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R002,sample_count,10134,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R002,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R002,target_energy_calls,11204,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R002,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R002,force_calls,11050,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R002,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R002,network_forward_calls,892513,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R002,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R002,ode_evals,101176,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R002,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R002,hutchinson_M,8,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R002,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R002,smc_particles,NA,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R002,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R002,smc_resampling_steps,NA,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R002,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R002,ESS_N,0.46270406,fraction,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R002,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R002,Deltaf_error,0.01053465,kcal_per_mol,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R002,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R002,kl_pf_vs_girsanov,0.01588920,nats,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,pf_companion_ode,R002,appendix_path_space_control_cost__T1_double_well__pf_companion_ode__R002,logq_var,0.16345904,log_density_variance,configs/experiments/appendix_path_space_control_cost/T1_double_well/pf_companion_ode.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R002,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R002,wall_clock_seconds,3343.982,seconds,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R002,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R002,cpu_seconds,3431.952,seconds,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R002,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R002,gpu_seconds,NA,seconds,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R002,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R002,peak_memory_mib,11864.214,MiB,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R002,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R002,sample_count,10132,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R002,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R002,target_energy_calls,42242,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R002,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R002,force_calls,20596,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R002,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R002,network_forward_calls,NA,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R002,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R002,ode_evals,NA,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R002,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R002,hutchinson_M,NA,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R002,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R002,smc_particles,1919,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R002,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R002,smc_resampling_steps,40,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R002,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R002,ESS_N,0.46409191,fraction,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R002,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R002,Deltaf_error,0.01261578,kcal_per_mol,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R002,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R002,kl_pf_vs_girsanov,0.01775458,nats,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,girsanov_smc,R002,appendix_path_space_control_cost__T1_double_well__girsanov_smc__R002,logq_var,0.18480031,log_density_variance,configs/experiments/appendix_path_space_control_cost/T1_double_well/girsanov_smc.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R002,appendix_path_space_control_cost__T1_double_well__path_integral_control__R002,wall_clock_seconds,1288.36195,seconds,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R002,appendix_path_space_control_cost__T1_double_well__path_integral_control__R002,cpu_seconds,3651.982166,seconds,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R002,appendix_path_space_control_cost__T1_double_well__path_integral_control__R002,gpu_seconds,952.224696,seconds,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R002,appendix_path_space_control_cost__T1_double_well__path_integral_control__R002,peak_memory_mib,2684,MiB,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R002,appendix_path_space_control_cost__T1_double_well__path_integral_control__R002,sample_count,20000,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R002,appendix_path_space_control_cost__T1_double_well__path_integral_control__R002,target_energy_calls,32378,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R002,appendix_path_space_control_cost__T1_double_well__path_integral_control__R002,force_calls,0,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R002,appendix_path_space_control_cost__T1_double_well__path_integral_control__R002,network_forward_calls,179069,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
appendix_path_space_control_cost,T1_double_well,path_integral_control,R002,appendix_path_space_control_cost__T1_double_well__path_integral_control__R002,ode_evals,131905,count,configs/experiments/appendix_path_space_control_cost/T1_double_well/path_integral_control.yaml
